OriginalPoint	firstUp	label	SecondUp	FirstDown	label	SecondDown
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000198793	MTOR
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000198793	MTOR
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000198793	MTOR
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000198793	MTOR
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000198793	MTOR
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000198793	MTOR
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000169032	MAP2K1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000132155	RAF1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000121879	PIK3CA
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000121879	PIK3
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000169032	MAP2K1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000132155	RAF1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000121879	PIK3CA
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000121879	PIK3
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000169032	MAP2K1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000132155	RAF1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000121879	PIK3CA
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000121879	PIK3
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000169032	MAP2K1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000132155	RAF1
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000121879	PIK3CA
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000121879	PIK3
http://identifiers.org/ensembl/ENSG00000125084	http://identifiers.org/ensembl/ENSG00000136944	LMX1B	http://identifiers.org/ensembl/ENSG00000163064	EN1	http://identifiers.org/ensembl/ENSG00000169032	MAP2K1
